,Excluded:,Unnamed: 1,Unnamed: 2,Section,Code,Page,SubCode,Text,Required/Core or Improvement,# of points,Notes,Agronomic Practices,Biosecurity/Sanitation,Planning,Application Restrictions,Education/training,Monitoring,Record-Keeping,Worker Safety,Materials/Waste Mgmt,Prohibited Practice,Prohibited Material,Limited Use Substances,Phase Out,Pesticide Practices,Threshold,Performance Standard,Non-Quantitative Performance Standards,Unnamed: 25,Differentiated Standards,Applies to Small Farms,Applies to Medium Farms ,Applies to Large Farms,CertName,Performance: Improvement,Unnamed: 26,Follow the law,Unnamed: 20,Biosecurity,Unnamed: 23,Unnamed: 24
6,,,,Principle 5: Good Agricultural Practice,5.4,10.0,1.0,"5.4.1 A plan for ICM is documented and implemented which addresses the use of prevention, and biological and other non-chemical or selective chemical controls.",Required,,,,,ipm plan exists,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
7,,,,Principle 5: Good Agricultural Practice,5.4,10.0,2.0, There is an implemented plan that contains targets for reduction of potentially harmful phytosanitary products over time.  5,Required,,,,,plan makes targets to reduce pesticide use,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
8,,,,Principle 5: Good Agricultural Practice,5.4,10.0,3.0,"Use of phytosanitary products follows legal requirements and professional recommendations (or, if professional recommendations are not available, manufacturer’s recommendations) and includes rotation of active ingredients to prevent resistance.",Required,,,,,,,,,,,,,,,,"follow all laws, moa rotation",,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
9,,,,Principle 5: Good Agricultural Practice,5.4,10.0,4.0,"5.4.4 Records of monitoring of pests, diseases, weeds and natural predators are maintained. ",Required,,,,,,,records of all pesticide use,monitoring of pests and weeds,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
10,,,,Principle 5: Good Agricultural Practice,5.5,10.0,1.0,"5.5.1 There are records of the use of agrochemicals, including: a) products purchased and applied, quantity and dates;  b) identification of the area where the application was made; c) names of the persons that carried out the preparation of the products and field application;  d) identification of the application equipment used; e) weather conditions during application. ",Required,,,,,,,,,"records of all pesticide use: product, date, quantity, area, who, equipment, weather",,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
11,,,,Principle 5: Good Agricultural Practice,5.5,10.0,2.0,"5.5.2 Containers are properly stored, washed and disposed of; waste and residual agrochemicals are disposed in an environmentally appropriate way. ",Required,,,,,,,,,,,"pesticides stored safely, pesticide containers disposed of safely",,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
12,,,,Principle 5: Good Agricultural Practice,5.5,11.0,3.0,"5.5.3 Transportation and storage of agrochemicals is safe and all applicable health, environmental and safety precautions are implemented",Required,,,,,,,,,,,safe transportation and storage of pesticides,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
13,,,,Principle 5: Good Agricultural Practice,5.5,1.0,4.0,5.5.4 The necessary precautions are taken to avoid people entering into recently sprayed areas,Required,,,,,,,,,,precautions on recently sprayed areas (no specific re-entry intervals),,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
14,,,,Principle 5: Good Agricultural Practice,5.6,11.0,1.0,5.6.1 There is no use of agrochemicals listed in the Stockholm and Rotterdam Conventions. ,Required,,,,,,,,,,,,,"rotterdam, stockholm",,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
15,,,,Principle 5: Good Agricultural Practice,5.6,11.0,2.0,5.6.2 The use of Paraquat and Carbofuran is eliminated by June 2017. ,Required,,,,,,,,,,,,,propreitary list,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
16,,,,Principle 5: Good Agricultural Practice,5.7,11.0,1.0,5.7.1 There is information about requirements for use of biological control agents.  ,Required,,,biological control follows laws,,,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
17,,,,Principle 5: Good Agricultural Practice,5.7,11.0,2.0,5.7.2 Records are kept of all use of biological control agents that demonstrate compliance with national laws.  ,Required,,,,,,,,,records of all biocontrol agents,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
18,,,,Principle 5: Good Agricultural Practice,5.8,11.0,1.0,"5.8.1 Where there are institutional systems in place to identify and monitor invasive introduced species and new pests, or major outbreaks of existing pests, producers follow the requirements of these systems, to minimize their spread. ",Required,,,,follow rules for monitoring and controlling invasive pests and weeds,,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
19,,,,Principle 5: Good Agricultural Practice,5.8,11.0,2.0,"5.8.2 Where such systems do not exist, incidences of new pests or invasive species and major outbreaks of existing pests are communicated to the proper authorities and relevant producer organizations or research organizations. ",Required,,,,inform government of invasive pest and weed outbreaks,,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
20,,,,Principle 5: Good Agricultural Practice,5.9,11.0,1.0,"5.9.1 There are documented procedures in place that specify good agricultural practices, including minimization of drift, in applying agrochemicals and these procedures are being implemented.",Required,,,,,procedures to minimize drift,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
21,,,,Principle 5: Good Agricultural Practice,5.9,11.0,2.0,"5.9.2 Records of weather conditions (wind speed and direction, temperature and relative humidity) during spraying operations are maintained. ",Required,,,,,,,,,weather records,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
22,,,,Principle 5: Good Agricultural Practice,5.9,11.0,3.0,5.9.3 Aerial application of pesticides is carried out in such a way that it does not have an impact on populated areas. All aerial application is preceded by advance notification to residents within 500m of the planned application.,Required,,,,,,,,,,,,,,,,advanced notification to neighbors when arial spraying,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
23,,,,Principle 5: Good Agricultural Practice,5.9,12.0,,"5.9.4 There is no aerial application of pesticides in WHO Class Ia, Ib and II within 500m of populated areas or water bodies. ",Required,,,,,,,,,,,,,,"who 1a, who 1b, who ii",,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
24,,,,Principle 5: Good Agricultural Practice,5.9,12.0,,5.9.5 There is no application of pesticides within 30m of any populated areas or water bodies.  ,Required,,,"30 m buffer for spraying: populated areas, water bodies",,,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
25,,,,Principle 5: Good Agricultural Practice,5.11,12.0,,5.11.1 All purchased seed must come from known legal quality sources.  5,Required,,,,seed must come from verified sources,,,,,,,,,,,,,,,,,,,,,RTRS,nan,nan,nan,nan,nan,nan,nan
0,,,,BLOCK B - FARMING PRACTICES,G.B.,24.0,34.0,"Suitable varieties are used for new planting (including propagation). The group provides suitable planting material to group members, or identifies a local provider(s) who can do so.",Improvement,,,suitable varieties: including disease/pest resistance,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
1,,,,BLOCK B - FARMING PRACTICES,G.B.,24.0,35.0,Planting material obtained from a nursery is free of visible signs of pest and disease,Improvement,,,,disease/pest-free planting materials,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
2,,,,BLOCK B - FARMING PRACTICES,G.B.,24.0,36.0,Measures are in place to improve plant health in on-site nurseries. Records are kept and show the origin of the substrate and pesticide treatments (including sterilization).,Improvement,,,,,,,,,records of treatments in nurseries,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
3,,,,,,25.0,40.0,Pruning and removal of shoots/suckers and infested material are regularly carried out to obtain optimal tree structure and health.,Improvement,,,pruning ,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
4,,,,,,,,Weeds are controlled to optimize nutrient and water uptake of the crop.,Improvement,,,"control weeds, priority to non-chemical strategies",,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
5,,,,,,27.0,50.0,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,ipm heirarchy,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
6,,,,,,,50.1,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,monitoring: non-specific,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
7,,,,,,,50.2,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,, application of thresholds: non specific,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
8,,,,,,,50.3,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,general: use cultural/mechanical practices,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
9,,,,,,,50.4,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
10,,,,,,,50.5,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
11,,,,,,,50.6,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
12,,,,,,,50.7,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
13,,,,,,,50.8,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,moa rotation,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
14,,,,,,,50.9,Integrated Pest Management (IPM) measures are implemented and documented.,Improvement,,,,,,,,,,,,,,,,"""selective herbicides""",,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
15,,,,,,,51.0,"Pesticides listed on the Banned Pesticides List cannot be used at any stage of production, or stored for use on the certified crop. Pesticides listed on the Pesticides Watch List can only be used if: -all IPM measures have been applied, -less hazardous alternatives are not available, and - specific recommendations are followed to mitigate or reduce the risks related to the hazardous nature of the product.",Required,,,,,,,,,monitor use of watch-list pesticides,,,,propreitary list,propreitary list,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
16,,,,,,,52.0,Pesticides are used or stored for use on the certified crop only if officially registered and permitted for use on the crop in the country where the farm is located.,Required,,,,,,,,,,,,,legal pesticides only,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
17,,,,,,,53.0,An up-to-date and complete list of fertilizers and pesticides that can be used and stored is available for group members.,Required,,,,,,,,,records of all pesticides stored on farm,,records of all pesticides stored on farm,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
18,,,,,,,54.0,All applications of inorganic fertilizers and pesticides are recorded.,Improvement,,,,,,,,,records of all pesticide use on farm,,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
19,,,,,,,55.0,Only properly trained persons handle or apply hazardous pesticides.,Required,,,,,,,people who handle pesticides are: trained,,,people who handle pesticides are: trained,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
20,,,,,,,56.0,"Pesticides and liquid fertilizers are prepared, mixed and applied according to the label and Material Safety Data Sheet instructions, considering the prescribed dosage, period or timing, and intervals of application.",Improvement,,,,,,,,,,,pesticide handling follows label,,,,,pesticide applicationj follows label,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
21,,,,,,,57.0,Surplus pesticide and liquid fertilizer application mix or tank washings are disposed of in a way that minimizes negative impacts to humans and the environment.,Improvement,,,,,,,,,,,surplus pesticide sprayed on untreated crop/fallow land,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
22,,,,,,,58.0,Recommended re-entry times for all pesticides used are observed and respected.,Improvement,,,,,,,,,,re-entry times,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
23,,,,,,29.0,59.0,Recommended pre-harvest intervals for all pesticides used are observed and respected.,Improvement,,,,,,,,,,,,,,,,follow pre-harvest intervals,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
24,,,,,,29.0,60.0,All equipment used to apply fertilizers and pesticides is maintained in good condition to ensure correct functioning,Improvement,,,,,,,,,application equipment inspection records,,,,,,,"pesticide equipment insepected 1x/year, ""calibrated if necessary""",,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
25,,,,,,,61.0,"Empty pesticide containers are rinsed 3 times with water. Rinsing water is disposed of properly, or returned to the application equipment tank for later use in a spray mix, and containers are perforated.",Required,,,,,,,,,,,disposal of pesticide containers,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
26,,,,,,,62.0,"Empty pesticide containers and obsolete pesticides are handled by a collection, return, and/or disposal system (organized by government or a supplier). Containers are stored, labeled, and handled properly and securely until they are collected.",Required,,,,,,,,,,,disposal of pesticide containers,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
27,,,,,,,63.0,"Pesticides and inorganic fertilizers are stored: - in accordance with the label instructions, - in their original container or packaging, - with indication of the crop they are used for, - in a way to avoid spillage (e.g. liquids are placed on lower shelves or stored separately), - securely in a location not accessible to children (e.g. locked), and - away from harvested product, tools, packing material, and food products.",Required,,,,,,,,,,,"pesticide storage is safe, locked",,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
28,,,,,,30.0,64.0,"Facilities for handling, diluting and storing inorganic fertilizers and pesticides must be: - dry and clean, - well ventilated and sufficiently lit, - structurally secure, and - equipped with non-absorbent material. In addition, central storage and diluting facilities must have: - a sound roof and impermeable floors, - shelves with non-absorbent and fireresistant material, - a system to retain spillage, - clear, permanent warning signs close to access doors, - visible safety warnings, explanation of pictograms, symptoms of intoxication, and first aid information for each product stored, - a visible emergency procedure, and - an eye-washing area.",Improvement,,Year 2,,,,,,,,pesticide handling facilities have worker-safety provisions,pesticide handling facilities are safe,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
29,,,,,,30.0,65.0,Inorganic fertilizers and pesticides are transported safely to prevent spillage.,Required,,,,,,,,,,,transport of pesticides avoids spills,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
30,,,,BLOCK C - WORKING CONDITIONS,,36.0,95.0,"Group members and group member workers have access to first aid. First aid boxes are placed at central locations of production, processing, and maintenance sites.",Required,,,,,,,,,,first aid is available for workers,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
31,,,,,,36.0,96.0,A clear and written accident and emergency procedure is in place. The procedure is visually displayed at all central locations.,Improvement,,Year 2,,,accident plans exist,,,,,accident plans are posted,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
32,,,,,,37.0,98.0,"Group staff, group members, and group member workers who handle pesticides use personal protective equipment (PPE) and protective clothing that is prescribed for the pesticide used and its method of application. The PPE and protective clothing are in good condition. After use, PPE and protective clothing are cleaned, dried, and safely stored, away from pesticides and in a wellventilated area.",Required,,,,,,,,,,workers who handle pesticides have access to ppe,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
33,,,,,,,99.0,"Group staff, group members, and group member workers who are under 18 years of age, or pregnant or breastfeeding do not handle pesticides.",Required,,,,,,,,,,"workers who handle pesticides are not: children, pregnant or nursing",,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
34,,,,,,,100.0,0 Group staff (including group appointed spraying teams) who regularly handle hazardous pesticides undergo annual health checks.,Improvement,,Year 2,,,,,,,,workers who handle pesticides have: regular health checks,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
35,,,,,,,101.0,Group staff (including group appointed spraying teams) who handle pesticides have access to changing and washing facilities,Improvement,,Year 3,,,,,,,,washing facilities for workers who handle pesticides,,,,,,,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
36,,,,ENVIRONMENT,,38.0,106.0,"A buffer zone of native vegetation of at least 5m wide is kept along each border of seasonal and permanent water bodies to reduce erosion, limit contamination from pesticides and fertilizers, and protect wildlife habitats. In farms less than 2ha in area, a buffer zone of at least 2m wide is kept.",Improvement,,Year 2,,,,,,,,,,,,,,buffer zones,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
37,,,,,,,107.0,"Pesticides and inorganic fertilizers are not used: -within 5 meters from any permanent or seasonal water body that is 3 meters wide or less (or within 2m if the farm is less than 2 ha), -within 10 meters from any permanent or seasonal water body that is over 3 meters wide, or -within 15 meters from any spring. Run-off from organic fertilizer is minimized.",Required,,,,,,,,,,,,,,,,buffer zones,,,,nan,,,,,UTZ,,,nan,nan,nan,nan,nan
0,,,,Environmentally Sensitive Areas ,1.02,2,0.04,"Are there complete and legible pesticide application records for the current season that include location, date, time, material applied, rate, applicator name, application method, wind speed and direction, air temperature and target pest? ",Required,10,,,,,,,,"records of pesticide applications include: who, rate, method, date, time, weather, target pest",,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
1,,,,Environmentally Sensitive Areas ,1.03,5,0.06,Does organization create habitat and forage sources for pollinators? ,ScoreCard,40,,create pollinator habitat,,,,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
2,,,,Environmental Emergency Management ,1.04,5,0.01,operations in the scope of the application have emergency contact information and staff procedures readily available in the event of possible emergencies?,ScoreCard,20,,,,emergency contact info and procedures for emergencies,,,,,emergency contact info and procedures for emergencies,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
3,,,,Environmental Emergency Management ,1.04,5,0.02,Do all operations in the scope of the application have written emergency management plans that are readily accessible if an emergency occurs? ,ScoreCard,30,,,,written environmental emergency plans,,,,,written environmental emergency plans,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
4,,,,Fertilizer and Pesticide Drift ,1.05,6,0.01,Is pesticide and nutrient application equipment appropriate for the crop and materials in use?,ScoreCard,30,,,,,,,,,,,,,,,appropriate application equipment,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
5,,,,Fertilizer and Pesticide Drift ,1.05,6,0.02,"Are pesticide and nutrient application equipment calibrated at least annually, or more frequently if recommended by the manufacturer",ScoreCard,30,,,,,,,,,,,,,,,sprayer calibration 1x/year,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
6,,,,Fertilizer and Pesticide Drift ,1.05,6,0.03,Are comprehensive drift management plans written and readily accessible? ,ScoreCard,40,,,,drift management plan,,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
7,,,,Air Quality ,1.06,6,0.01,Are measures in place to protect air quality? ,ScoreCard,30,,,,,,,,,,,,,,,measures in place to protect air quality,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
8,,,,Work Environment ,1.15,12,0.02,Does organization implement responsible practices for pesticide applicators? ,ScoreCard,20,,,,,,,,,"""responsible practices"" in pesticide handling",,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
9,,,,Work Environment ,1.15,13,0.06,"Does organization track worker safety, i.e., incident rates? ",ScoreCard,20,,,,,,,,track worker safety incidents,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
10,,,,Sustainability and Stewardship,1.16,14,0.03,Has on-farm research been conducted or supported financially or otherwise in the past year? ,ScoreCard,25,,,,,,research on-site,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
11,,,,Sustainability and Stewardship,,14,0.04,Are sciencebased procedures used for onsite research? ,ScoreCard,25,,,,,,"research on-site uses ""science-based procedures""",,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
12,,,,Crop-specific Standards ,1.17,14,0.01,Does organization access IPM information resources? ,ScoreCard,100,,,,,,accesses ipm information resources,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
13,,,,Crop-specific Standards ,1.17,14,0.02,Does organization identify key pests (those which usually require action to prevent economic losses) and understand key pest biology?,ScoreCard,100,,,,,,have knowledge of pests,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
14,,,,Crop-specific Standards ,1.17,14,0.03,Does organization identify effective nonchemical and chemical strategies to prevent losses by each key pest? ,ScoreCard,100,,,,"plan identifies strategies, chemical and non-chemical",,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
15,,,,Crop-specific Standards ,1.17,14,0.04,"Does organization implement effective scouting, sampling and monitoring techniques for all key pests for which these techniques are available?",ScoreCard,100,,,,,,,use scouting and monitoring: no specific standards,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
16,,,,Crop-specific Standards ,1.17,15,0.05,Does organization use sciencebased action thresholds to determine if and when to take action for each key pest for which thresholds are available? ,ScoreCard,100,,,,,,,decide when to spray using: thresholds,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
17,,,,Crop-specific Standards ,1.17,15,0.06,Are pesticide applications tied to a documented need? ,ScoreCard,40,,,,,,,,document need for pesticide applications,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
18,,,,Crop-specific Standards ,1.17,15,0.07,"Is total pesticide use, i.e., pounds of active ingredient, measured and recorded?",ScoreCard,20,,,,,,,,records of total pesticide use,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
19,,,,Crop-specific Standards ,1.17,15,0.08,Is pesticide use tracked and reduced over time by transitioning to non-chemical strategies? ,ScoreCard,40,,,,,,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,reduction in total pesticide use over time,,nan,nan,nan,nan,nan
20,,,,Crop-specific Standards ,1.17,15,0.09,Is pesticide risk tracked and reduced over time? ,ScoreCard,40,,,,,,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,reduction in total pesticide use over time,,nan,nan,nan,nan,nan
21,,,,Crop-specific Standards ,1.17,15,0.1,"Does organization identify pesticide modes of action, and specific pesticide uses most at risk for pest resistance",ScoreCard,40,,,,identify risks of resistance,,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
22,,,,Crop-specific Standards ,1.17,16,0.11,"In addition to reducing reliance on pesticides through scouting, monitoring, thresholds and/or spot treatments, are other strategies used to delay resistance? ",ScoreCard,50,,vague: methods to reduce resistance,,,,,,,,,,,,,vague: methods to reduce resistance,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
23,,,,Crop-specific Standards ,1.17,16,0.12,Does organization formally assess performance of pesticides most at risk of resistance to detect and report problems early? ,ScoreCard,10,,,,formally assess risks of resistance,,,monitoring for resistance of pests,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
24,,,,Crop-specific Standards ,1.17,16,0.13,"Does organization rank pesticides used by potential for residue postharvest, and reduce/restrict use of those with greatest residue potential?",ScoreCard,30,,,,"rank pesticides by risk of post-harvest residue, try to use lower risk pesticides",,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
25,,,,Crop-specific Standards ,1.17,16,0.14,"Does organization rank pesticides used by acute toxicity to mammals, and  reduce/restrict use of those with greatest risk? ",ScoreCard,20,,,,"rank pesticides by risk of acute mammal toxicity, try to use lower risk pesticides",,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
26,,,,Crop-specific Standards ,1.17,16,0.15,"Does organization rank pesticides used by toxicity to beneficials, including pollinators, and reduce/restrict use of those with greatest risk? ",ScoreCard,20,,,,"rank pesticides by risk of beneficial insect toxicity, try to use lower risk pesticides",,,,,,,,,,,,,,,nan,,,,,Sustainable Food Group,,,nan,nan,nan,nan,nan
