,PRODUCTNAME,EPAREGISTRATIONNUMBER,PESTICIDEFORM,APPROVEDDATE,CANCELTRANSFERDATE,RESTRICTEDUSEPRODUCT,CONDITIONALLYFLAG,SIGNALWORD,ALTBRANDNAMELIST,COMPANY,AGENT,DISTRIBUTORLIST,FORMULATIONLIST,PESTLIST,SITELIST,PRODUCTMANAGERLIST,TRANSFERLIST,TYPESLIST
30,BONIDE KU GR RTU,4-483,16,2010-06-21, ,F,N,Caution,,,,,,,,,,
31,BONIDE SUF 15,4-485,16,2010-12-02, ,F,Y,Caution,,,,,,,,,,
32,BONIDE GARDEN DUST,4-473,03,2009-02-24, ,F,Y,Caution,,,,,,,,,,
33,"BONIDE WASP, HORNET & YELLOW JACKET KILLER",4-475,19,2009-07-29, ,F,Y,Caution,,,,,,,,,,
34,BONIDE LAMBDA 0.5% CONCENTRATE,4-469,15,2008-06-10, ,F,Y,Caution,,,,,,,,,,
35,LAMBDA 0.04% GRANULE,4-468,04,2008-05-30, ,F,Y,Caution,,,,,,,,,,
36,BONIDE SPINOSAD CONCENTRATE,4-471,15,2008-08-27, ,F,N,No Signal Word,,,,,,,,,,
37,BONIDE WEED BEATER PLUS CRABGRASS & BROADLEAF WEED KILLER READY TO SPRAY,4-466,15,2008-02-08, ,F,Y,Caution,,,,,,,,,,
38,BONIDE EIGHT INSECT CONTROL YARD & GARDEN READY TO SPRAY,4-407,16,1998-09-30, ,F,Y,Caution,,,,,,,,,,
39,BONIDE SPINOSAD READY-TO-USE,4-472,16,2008-10-21, ,F,Y,No Signal Word,,,,,,,,,,
40,BONIDE LAMBDA 0.002% READY TO USE,4-467,16,2008-05-29, ,F,N,Caution,,,,,,,,,,
41,BONIDE VEGETABLE-FLORAL DUST,4-474,16,2009-02-26, ,F,Y,Caution,,,,,,,,,,
42,BONIDE LAMBDA 0.025% DUST,4-470,03,2008-06-02, ,F,Y,Caution,,,,,,,,,,
43,BONIDE LAWN WEED KILLER,4-400,15,1997-11-26, ,F,Y,Caution,,,,,,,,,,
44,BONIDE TOMATO AND BLOSSOM SET SPRAY,4-456,16,1992-10-22, ,F,Y,Caution,,,,,,,,,,
45,BONIDE OUTDOOR INSECT CONTROL CONCENTRATE,4-464,16,2007-02-15, ,F,Y,Caution,,,,,,,,,,
46,BONIDE HOME PEST INSECT KILLER,4-462,16,2007-01-26, ,F,Y,Caution,,,,,,,,,,
47,BONIDE COPPER SPRAY OR DUST,4-58,07,1949-03-04, ,F,N,Warning,,,,,,,,,,
48,DIPEL WP HOME & GARDEN INSECTICIDE,4-252,06,1977-04-29, ,F,N,Caution,,,,,,,,,,
49,COPPER DRAGON TOMATO & VEGETABLE DUST ,4-458,03,1981-09-08, ,F,Y,Caution,,,,,,,,,,
50,BONIDE ROACH POWDER WITH BORIC ACID,4-460,03,1984-06-15, ,F,N,Caution,,,,,,,,,,
51,BONIDE MOSQUITO BEATER WSP,4-455,21,2003-12-09, ,F,N,Caution,,,,,,,,,,
52,BONIDE MALATHION INSECT SPRAY,4-412,12,1966-08-10, ,F,N,Warning,,,,,,,,,,
53,BONIDE MOSQUITO INSECT SPRAY,4-454,19,2004-01-29, ,F,Y,Caution,,,,,,,,,,
54,DELTA EIGHT PLUS FERTILIZER,4-447,04,2003-11-25, ,F,Y,Caution,,,,,,,,,,
55,BONIDE DELTA DUST,4-441,03,2002-01-16, ,F,Y,Caution,,,,,,,,,,
56,HOT PEPPER WAX CONCENTRATE,4-395,15,1997-10-30, ,F,Y,Caution,,,,,,,,,,
57,HOT PEPPER WAX READY-FOR-USE,4-397,16,1997-10-30, ,F,Y,Caution,,,,,,,,,,
58,BONIDE PERMAKIL 25,4-393,16,1997-07-02, ,F,Y,Caution,,,,,,,,,,
59,BONIDE WASP & HORNET SPRAY,4-392,19,1997-07-01, ,F,Y,Caution,,,,,,,,,,
60,BONIDE LAWN WEED KILLER W/TRIMEC,4-401,16,1997-12-10, ,F,Y,Caution,,,,,,,,,,
61,BONIDE FUNG-ONIL MULTI-PURPOSE FUNGICIDE READY TO USE,4-410,16,1998-08-20, ,F,Y,Caution,,,,,,,,,,
62,BONIDE EIGHT INSECT CONTROL DUST,4-409,03,1998-12-08, ,F,Y,Caution,,,,,,,,,,
63,BONIDE EIGHT INSECT CONTROL CONCENTRATE,4-408,12,1998-09-30, ,F,Y,Caution,,,,,,,,,,
64,BONIDE YARD & PATIO FOGGER,4-429,19,2000-04-04, ,F,Y,Caution,,,,,,,,,,
65,BONIDE NO ESCAPE LIQUID BAIT ANT KILLER,4-424,16,2000-03-01, ,F,Y,Caution,,,,,,,,,,
66,BONIDE CYPERACTIVE,4-427,12,1999-06-28, ,F,Y,Warning,,,,,,,,,,
67,BONIDE TOTAL RELEASE INDOOR FOGGER,4-428,18,2000-01-21, ,F,Y,Caution,,,,,,,,,,
68,BONIDE EIGHT INSECT CONTROL PLUS,4-430,03,2001-05-31, ,F,Y,Caution,,,,,,,,,,
69,BONIDE ROOT & GROW,4-431,15,2000-10-12, ,F,Y,Caution,,,,,,,,,,
70,BONIDE LAWN DEGRUBBER,4-425,03,1999-12-01, ,F,Y,Caution,,,,,,,,,,
71,BONIDE EIGHT INSECT CONTROL DELTA GRANULES,4-422,04,1999-07-06, ,F,Y,Caution,,,,,,,,,,
72,BONIDE ALL SEASONS HORTICULTURAL SPRAY OIL RTU,4-419,16,1999-07-27, ,F,Y,Caution,,,,,,,,,,
73,"BONIDE KLEENUP GRASS & WEED KILLER, READY TO USE",4-433,16,1996-04-30, ,F,Y,Caution,,,,,,,,,,
74,KLEENUP SUPER EDGER,4-432,16,1996-04-30, ,F,Y,Caution,,,,,,,,,,
75,KLEENUP SPOT WEED & GRASS KILLER,4-434,16,1996-04-30, ,F,Y,Caution,,,,,,,,,,
76,"BONIDE KLEENUP GRASS & WEED KILLER, CONCENTRATE",4-435,15,1996-04-30, ,F,Y,Caution,,,,,,,,,,
77,BONIDE ORCHARD MOUSE BAIT,4-152,04,1967-03-03, ,T,N,Caution,,,,,,,,,,
78,BONIDE MOLETOX II,4-285,04,1980-02-05, ,F,Y,Caution,,,,,,,,,,
79,SMOKE'EM,4-463,10,1967-12-21, ,F,Y,Warning,,,,,,,,,,
80,BONIDE FLEA & TICK DIP AND SPRAY,4-363,15,1994-07-19, ,F,Y,Caution,,,,,,,,,,
81,BONIDE RTU VEGETABLE & ORNAMENTAL INSECT SPRAY,4-383,16,1996-10-04, ,F,Y,Caution,,,,,,,,,,
82,BONIDE BONTOX MULTI-PURPOSE INSECTICIDE CONCENTRATE,4-382,12,1996-09-25, ,F,Y,Warning,,,,,,,,,,
83,BONIDE FLEA AND TICK SPRAY FOR LAWNS,4-384,12,1996-09-25, ,F,Y,Caution,,,,,,,,,,
84,BONIDE PYRETHRIN CONCENTRATE 60-6,4-385,12,1996-07-02, ,F,Y,Caution,,,,,,,,,,
85,BONIDE A COMPLETE FRUIT TREE SPRAY,4-122,14,1961-02-15, ,F,N,Warning,,,,,,,,,,
86,SHOT-GUN DOG AND CAT REPELLENT,4-356,04,1990-05-22, ,F,N,Caution,,,,,,,,,,
87,SEVIN GARDEN DUST,4-413,03,1966-10-01, ,F,Y,Caution,,,,,,,,,,
88,MALATHION 50% EC,4-99,12,1956-02-28, ,F,Y,Caution,,,,,,,,,,
89,DIPEL BIO GARDEN SPRAY,4-405,06,1982-01-05, ,F,Y,Caution,,,,,,,,,,
90,BONIDE INSECT SPRAY,4-350,12,1988-11-10, ,F,Y,Warning,,,,,,,,,,
91,BONIDE HORTICULTURAL AND DORMANT SPRAY OIL,4-80,17,1953-01-08, ,F,N,Caution,,,,,,,,,,
92,GRUBTOX LAWN GRUB AND INSECT CONTROL,4-142,04,1964-03-10, ,F,N,Caution,,,,,,,,,,
93,BONIDE BACILLUS THURINGIENSIS (BT) MOTH LARVAE (CATERPILLAR) CONTROL,4-226,14,1975-09-19, ,F,N,Caution,,,,,,,,,,
94,BONIDE DIPEL 150 DUST FOR VEGETABLES,4-251,03,1977-06-30, ,F,N,Caution,,,,,,,,,,
95,BONIDE DAIRY & HORSE FLY SPRAY,4-331,16,1986-02-03, ,F,Y,Caution,,,,,,,,,,
96,DIPEL 10G SWEET CORN GRANULES,4-336,04,1986-10-27, ,F,Y,Caution,,,,,,,,,,
97,BONIDE SEVIN 5% DUST INSECTICIDE,4-143,03,1964-11-13, ,F,N,Caution,,,,,,,,,,
98,BONIDE PYRENONE MOSQUITO FOGGING SPRAY,4-376,16,1995-06-28, ,F,N,Caution,,,,,,,,,,
99,BONIDE SULPHUR PLANT FUNGICIDE MICRONIZED SPRAY OR DUST,4-62,07,1949-08-25, ,F,N,Caution,,,,,,,,,,
100,BONIDE POTATO BEETLE BEATER,4-349,12,1989-10-16, ,F,Y,Warning,,,,,,,,,,
101,BONIDE PYRENONE GARDEN SPRAY CONCENTRATE,4-371,15,1995-04-06, ,F,Y,Caution,,,,,,,,,,
102,NW-CA 200,3008-127,  ,2018-02-21, ,F,Y,Danger,,,,,,,,,,
103,KRD-1501,3008-125,15,2016-08-05, ,F,Y,Warning,,,,,,,,,,
104,FS-40,3008-126,11,2018-01-25, ,F,Y,Caution,,,,,,,,,,
105,Cut-N-Treat Wood Preservative,3008-128,16,2018-12-04, ,F,Y,Danger,,,,,,,,,,
106,WOOD-BOR,3008-61,15,1993-08-03, ,F,N,Caution,,,,,,,,,,
107,KRD-1403,3008-124,15,2016-06-01, ,F,Y,Caution,,,,,,,,,,
108,K-33 (60%) WOOD PRESERVATIVE,3008-34,16,1975-04-23, ,T,N,Danger,,,,,,,,,,
109,ORD-1302,3008-120,12,2014-12-22, ,F,Y,Caution,,,,,,,,,,
110,ORD-X209,3008-123,16,2012-12-05, ,F,N,Warning,,,,,,,,,,
111,ORD-X045,3008-116,11,2012-10-18, ,F,N,Caution,,,,,,,,,,
112,CUPRIC OXIDE TECHNICAL,3008-117,01,2012-06-07, ,F,N,Caution,,,,,,,,,,
113,BASIC COPPER CARBONATE - DRY,3008-115,01,2012-02-22, ,F,N,Danger,,,,,,,,,,
114,BASIC COPPER CARBONATE - WET CAKE,3008-114,02,2012-02-22, ,F,N,Danger,,,,,,,,,,
115,ORD-X070,3008-112,14,2011-10-03, ,F,N,Danger,,,,,,,,,,
116,ORD-X123,3008-111,16,2011-06-01, ,F,N,Danger,,,,,,,,,,
117,ORD-X310,3008-100,16,2008-09-30, ,F,N,Warning,,,,,,,,,,
118,ORD-X400,3008-99,15,2008-04-07, ,F,N,Caution,,,,,,,,,,
119,ORD-X170,3008-101,14,2009-05-06, ,F,N,Caution,,,,,,,,,,
120,ORD-X450,3008-98,16,2007-05-15, ,F,N,Danger,,,,,,,,,,
121,ORD-X300,3008-97,15,2007-05-09, ,F,N,Caution,,,,,,,,,,
122,DISODIUM OCTABORATE TETRAHYDRATE,3008-95,01,2006-12-05, ,F,N,Caution,,,,,,,,,,
123,BASIC COPPER CARBONATE,3008-96,01,2007-01-09, ,F,N,Caution,,,,,,,,,,
124, CU-89-RTU II,3008-122,16,2004-08-10, ,F,Y,Warning,,,,,,,,,,
125,ORD-X370,3008-92,15,2005-08-30, ,F,Y,Caution,,,,,,,,,,
126,CMC 10.3 WOOD PRESERVATIVE,3008-102,15,2005-06-03, ,F,Y,Caution,,,,,,,,,,
127,NW 200-C,3008-89,15,2004-11-16, ,F,Y,Danger,,,,,,,,,,
128,ORD-X378,3008-91,16,2005-05-10, ,F,Y,Caution,,,,,,,,,,
129,COPPER MEA CARBONATE,3008-110,02,2003-09-16, ,F,Y,Caution,,,,,,,,,,
130,NW 100-C,3008-87,15,2003-09-08, ,F,Y,Danger,,,,,,,,,,
131,TECHNICAL GRADE CUPRIC OXIDE,3008-76,01,1999-12-28, ,F,Y,Caution,,,,,,,,,,
132,CHROMIC ACID,3008-78,01,2001-05-30, ,F,Y,Danger,,,,,,,,,,
133,FIREPRO,3008-84,15,2002-06-24, ,F,Y,Caution,,,,,,,,,,
134,TIMBERFUME II,3008-121,16,1986-01-16, ,T,Y,Danger,,,,,,,,,,
135,ARSENIC ACID,3008-66,02,1986-09-19, ,F,Y,Danger,,,,,,,,,,
136,SODIUM HYPOCHLORITE 5.25%,148-1290,15,2016-06-23, ,F,N,Danger,,,,,,,,,,
137,SODIUM HYPOCHLORITE 10%,148-628,15,1964-05-27, ,F,N,Danger,,,,,,,,,,
138,SODIUM HYPOCHLORITE 12.5%,148-1288,15,1989-03-27, ,F,N,Danger,,,,,,,,,,
139,LIQUID CHLORINE,148-707,18,1967-02-27, ,T,Y,Danger,,,,,,,,,,
140,Terro RBS,149-24,  ,2018-07-05, ,F,Y,Caution,,,,,,,,,,
141,Terro Larvacide,149-23,04,2018-06-04, ,F,Y,Caution,,,,,,,,,,
142,TERRO DUAL BAIT STATIONS,149-21,16,2016-10-28, ,F,Y,Caution,,,,,,,,,,
143,TERRO MSLAB,149-22,16,2017-04-18, ,F,N,Caution,,,,,,,,,,
144,SL566,149-19,91,2011-08-01, ,F,N,Caution,,,,,,,,,,
145,TERRO STINK BUG KILLER,149-15,19,2004-08-04, ,F,Y,Caution,,,,,,,,,,
146,TERRO HOME PEST CONTROL,149-20,16,2011-10-20, ,F,N,Caution,,,,,,,,,,
147,TERRO TOTAL ANT CONTROL III,149-18,19,2010-10-05, ,F,Y,Caution,,,,,,,,,,
148,TERRO ANT KILLER 3,149-9,16,2000-02-07, ,F,Y,Caution,,,,,,,,,,
149,TERRO INSECT KILLER,149-11,19,2000-01-24, ,F,N,Caution,,,,,,,,,,
150,TERRO INSECT CONTROL DUST,149-12,03,2000-02-23, ,F,Y,Caution,,,,,,,,,,
151,TERRO SL-2,149-13,16,2002-05-23, ,F,Y,Caution,,,,,,,,,,
152,TERRO ANT KILLER II,149-8,16,1982-03-17, ,F,N,Caution,,,,,,,,,,
153,SWEENEY'S POISON PEANUTS MOLE* & GOPHER BAIT II,149-16,05,1988-05-09, ,F,Y,Caution,,,,,,,,,,
154,REG 13,150-64,15,2001-11-28, ,F,Y,Danger,,,,,,,,,,
155,OXYCHEM CHLORINE LIQUIFIED GAS UNDER PRESSURE,935-8,01,1948-07-26, ,F,Y,Danger,,,,,,,,,,
156,ACL 60 HS TECHNICAL GRADE,935-95,01,2012-02-02, ,F,N,Danger,,,,,,,,,,
157,PINNACLE 70 DSINFECTING TABLETS,935-94,05,2009-03-09, ,F,N,Danger,,,,,,,,,,
158,ACL 56 EUP CHLORINATING GRANULES,935-42,04,1981-01-27, ,F,N,Danger,,,,,,,,,,
159,TOWERBROM 90M TABLETS,935-75,05,1989-02-17, ,F,N,Danger,,,,,,,,,,
160,ACL RAPIDTABS,935-88,05,1997-10-01, ,F,Y,Danger,,,,,,,,,,
161,ACL 90 MIGHTY TABS,935-90,05,1999-04-07, ,F,Y,Danger,,,,,,,,,,
162,ACL 56 TABLETS,935-89,01,1998-04-22, ,F,Y,Danger,,,,,,,,,,
163,TOWERCHLOR 90 TABLETS,935-72,05,1988-01-05, ,F,N,Danger,,,,,,,,,,
164,ACL 90 CHLORINATING TABLETS,935-79,01,1990-02-01, ,F,N,Danger,,,,,,,,,,
165,MAWS 56 ACID WASH SANITIZER,935-50,15,1987-06-09, ,F,N,Danger,,,,,,,,,,
166,MWWS 56 WASH AND SURFACE SANITIZER,935-47,15,1983-07-07, ,F,N,Danger,,,,,,,,,,
167,MWSS 56 WASH AND SURFACE SANITIZER,935-57,15,1988-11-30, ,F,N,Danger,,,,,,,,,,
168,MFDS 56 FABRIC AND DIAPER SANITIZER,935-55,15,1985-08-29, ,F,N,Danger,,,,,,,,,,
169,MDS 56 DETERGENT SANITIZER,935-54,15,1985-08-12, ,F,N,Danger,,,,,,,,,,
170,MAS 56 ALKALINE SANITIZER,935-48,15,1985-08-12, ,F,N,Danger,,,,,,,,,,
171,ACL 90 EUP CHLORINATING COMPOSITION,935-59,15,1988-07-05, ,F,N,Danger,,,,,,,,,,
172,MWSS 60 WASH AND SURFACE SANITIZER,935-58,15,1988-11-30, ,F,N,Danger,,,,,,,,,,
173,ACL 90 PLUS CHLORINATING COMPOSITION,935-37,01,1959-05-11, ,F,N,Danger,,,,,,,,,,
174,ACL-60 CHLORINATING COMPOSITION,935-36,01,1959-05-11, ,F,N,Danger,,,,,,,,,,
175,ACL 60 EUP CHLORINATING GRANULES,935-41,04,1980-09-17, ,F,N,Danger,,,,,,,,,,
176,ACL 90B EUP CHLORINATING TABLETS,935-40,05,1981-01-30, ,F,N,Danger,,,,,,,,,,
177,ACL 56 CHLORINATING COMPOSITION,935-38,02,1975-02-03, ,F,N,Danger,,,,,,,,,,
178,SODIUM HYPOCHLORITE,935-20007,02,1986-11-24, ,F,N,Danger,,,,,,,,,,
179,"TOWERBROM 9010 TABLETS, THREE INCH TABLETS",935-78,05,1989-01-18, ,F,N,Danger,,,,,,,,,,
180,ACL 90 B TABLETS,935-81,02,1995-11-06, ,F,Y,Danger,,,,,,,,,,
181,TOWERBROM 60M GRANULES,935-71,04,1989-02-17, ,F,N,Danger,,,,,,,,,,
182,TOWERCHLOR 60 GRANULES,935-69,04,1987-02-25, ,F,N,Danger,,,,,,,,,,
183,TOWERCHLOR 56 GRANULES,935-68,04,1987-02-25, ,F,N,Danger,,,,,,,,,,
184,Barbicide RTU,954-14,  ,2020-08-11, ,F,Y,Danger,,,,,,,,,,
185,CLIPPERCIDE SPRAY,954-10,19,1971-12-07, ,F,N,Warning,,,,,,,,,,
186,BARBICIDE,954-11,15,1971-11-18, ,F,Y,Danger,,,,,,,,,,
187,TURF FERTILIZER WITH ACELEPRYN PLUS DIMENSION 253,961-428,15,2015-10-30, ,F,N,Caution,,,,,,,,,,
188,TURF FERTILIZER WITH ACELEPRYN PLUS DIMENSION 167,961-427,04,2015-10-30, ,F,N,Caution,,,,,,,,,,
189,BIFENTHRIN 0.2% INSECTICIDE,961-425,12,2014-09-12, ,F,Y,Caution,,,,,,,,,,
190,LANDSCAPE MULCH WITH INSECTICIDE,961-424,04,2015-03-12, ,F,Y,Caution,,,,,,,,,,
191,PREEN LANDSCAPE MULCH PLUS 3,961-422,04,2015-03-18, ,F,Y,Caution,,,,,,,,,,
192,SOUTHERN PREEN PLUS BIFENTHRIN,961-423,04,2014-09-12, ,F,Y,Caution,,,,,,,,,,
193,BIFENTHRIN 0.115% INSECTICIDE,961-426,04,2014-09-12, ,F,Y,Caution,,,,,,,,,,
194,LEBANON TURF FUNGICIDE CONTAINS DACONIL,961-277,04,1974-03-11, ,F,N,Caution,,,,,,,,,,
195,TURF BROADLEAF WEED CONTROL,961-418,04,2011-07-14, ,F,N,Caution,,,,,,,,,,
196,TURF FERTILIZER WITH LOCKUP PLUS DIMENSION WEED CONTROL,961-420,04,2012-07-18, ,F,N,Caution,,,,,,,,,,
197,PREEN WEED PREVENTER WITH SNAPSHOT,961-421,04,2014-03-13, ,F,Y,Caution,,,,,,,,,,
198,TURF FERTILIZER WITH BARRICADE 0.29%,961-416,04,2010-07-15, ,F,N,Caution,,,,,,,,,,
199,LEBANON FERTILIZER WITH DIMENSION CRABGRASS CONTROL,961-361,04,1992-10-21, ,F,Y,Caution,,,,,,,,,,
200,TURF FERTILIZER BROADLEAF PLUS DIMENSION WEED CONTROL,961-419,04,2011-07-14, ,F,N,Caution,,,,,,,,,,
201,TURF FERTILIZER PLUS TRIMEC ESTER WEED CONTROL,961-415,04,2010-06-07, ,F,N,Caution,,,,,,,,,,
202,TURF FERTILIZER PLUS PENOXSULAM WEED CONTROL,961-414,04,2010-06-09, ,F,N,Caution,,,,,,,,,,
203,TURF FERTILIZER PLUS TRIMEC DMB WEED CONTROL,961-413,15,2010-06-03, ,F,N,Caution,,,,,,,,,,
204,TURF FERTILIZER PLUS DIMENSION WEED CONTROL,961-417,04,2010-07-15, ,F,N,Caution,,,,,,,,,,
205,WK08201,961-410,04,2008-07-09, ,F,Y,Caution,,,,,,,,,,
206,LEBANON HERBICIDE GRANULES FORMULA D-11,961-412,04,2009-08-06, ,F,Y,Caution,,,,,,,,,,
207,PREEN LANDSCAPE MULCH,961-408,10,2007-01-19, ,F,Y,Caution,,,,,,,,,,
208,PREEN GARDEN WEED PREVENTER PLUS FERTILIZER,961-407,04,2006-09-28, ,F,Y,Caution,,,,,,,,,,
209,CONFRONT* IV + FERTILIZER,961-406,04,2006-09-26, ,F,Y,Caution,,,,,,,,,,
210,PREEN TRIFLURALIN MULCH,961-409,04,2008-01-10, ,F,Y,Caution,,,,,,,,,,
211,CONFRONT III + FERTILIZER,961-395,04,2005-01-25, ,F,Y,Caution,,,,,,,,,,
212,LEBANON FERTILIZER PLUS CONFRONT TR BRAND HERBICIDE,961-394,04,2004-02-17, ,F,Y,Caution,,,,,,,,,,
213,LEBANON FERTILIZER WITH BARRICADE (0.43%)  PREEMERGENCE WEED CONTROL (16-0-5),961-362,04,1996-03-14, ,F,Y,Caution,,,,,,,,,,
214,GREENSKEEPER CRABGRASS KILLER CONTAINS 4.6% TUPERSAN,961-309,04,1972-03-16, ,F,N,Caution,,,,,,,,,,
215,LEBANON PREEN PRO 1.875G,961-370,04,1998-01-21, ,F,Y,Caution,,,,,,,,,,
216,LEBANON TURF FERTILIZER WITH CONFRONT AND TEAM,961-391,04,2001-01-12, ,F,Y,Caution,,,,,,,,,,
217,GREENVIEW GREEN POWER CRABGRASS PREVENTION AND CONTROL,961-392,04,2002-11-14, ,F,Y,Caution,,,,,,,,,,
218,PAR EX FERTILIZER PLUS 1.00% RONSTAR,961-379,04,1996-06-06, ,F,Y,Warning,,,,,,,,,,
219,LEBANON LAWN FERTILIZER WITH TEAM CRABGRASS CONTROL,961-348,04,1986-10-20, ,F,N,Caution,,,,,,,,,,
220,LEBANON LAWN CRABGRASS PREVENTER WITH FERTILIZER,961-346,04,1985-11-07, ,F,Y,Caution,,,,,,,,,,
221,LEBANON CRAB-BUSTER PLUS LAWN FOOD,961-368,04,1994-05-05, ,F,Y,Caution,,,,,,,,,,
222,LEBANON FERTILIZER WITH BARRICADE PREEMERGENCE WEED CONTROL (0.29%),961-367,04,1993-11-05, ,F,Y,Caution,,,,,,,,,,
223,LEBANON FERTILIZER WITH BARRICADE PREEMERGENCE WEED CONTROL (0.38% BARRICADE) 13-0-4,961-365,04,1992-10-22, ,F,Y,Caution,,,,,,,,,,
224,LEBANON SPRING SEEDING CRABGRASS PREVENTER WITH GRASS FOOD,961-319,04,1972-07-14, ,F,N,Caution,,,,,,,,,,
225,PREEN THE WEED PREVENTER,961-280,04,1974-05-15, ,F,N,Caution,,,,,,,,,,
226,PAR EX FERTILIZER PLUS 1.5% RONSTAR,961-380,04,1985-12-04, ,F,Y,Warning,,,,,,,,,,
227,LEBANON TRIFLURALIN G-5,961-405,04,1983-01-14, ,F,N,Caution,,,,,,,,,,
228,LEBANON GREEN GOLD GARDEN WEED PREVENTER,961-335,04,1982-03-31, ,F,N,Caution,,,,,,,,,,
229,GREENFIELD MODERN TREBL,961-297,04,1974-05-15, ,F,N,Caution,,,,,,,,,,
230,LEBANON FERTILIZER WITH DIMENSION (0.13%) CRABGRASS CONTROL,961-360,  ,1992-10-21, ,F,Y,Caution,,,,,,,,,,
231,LEBANON FERTILIZER WITH DIMENSION (0.09%) CRABGRASS CONTROL,961-359,04,1992-10-21, ,F,Y,Caution,,,,,,,,,,
232,GREENS KEEPER BALAN*,961-268,04,1972-03-22, ,F,N,Caution,,,,,,,,,,
233,SANI-KLEEN,178-15,15,1993-09-29, ,F,Y,Warning,,,,,,,,,,
234,STERA-SHEEN GREEN LABEL SANITIZER & CLEANER,178-9,15,1972-04-24, ,F,N,Warning,,,,,,,,,,
235,DEXOL ALL-IN-1 ROSE & FLOWER CARE,192-223,16,2018-06-11, ,F,Y,Caution,,,,,,,,,,
236,ULTRASTOP HOME INSECT KILLER II,192-221,16,2006-06-06, ,F,Y,Caution,,,,,,,,,,
237,DEXOL SYSTEMIC PLANT CARE,192-211,04,2000-05-26, ,F,Y,Caution,,,,,,,,,,
